id,packetid,bpm,mov,bat,temp,gsr
4,212,122,34,403,3150,151
4,213,124,37,403,3150,148
4,214,123,12,403,3150,146
4,215,124,4,403,3150,146
4,216,119,5,403,3150,146
4,217,111,4,403,3150,147
4,218,111,3,403,3156,146
4,219,111,4,403,3150,148
4,220,111,2,403,3156,149
4,221,111,50,403,3156,151
4,223,127,17,403,3156,429
4,224,128,27,403,3150,137
4,225,137,40,403,3156,139
4,226,129,48,403,3156,141
4,227,122,34,403,3156,138
4,228,116,33,403,3162,147
4,229,114,12,403,3162,144
5,1,0,607,80,2662,586
4,230,109,13,403,3162,146
5,2,0,21,145,2668,591
5,2,0,21,145,2668,591
4,231,100,16,403,3162,147
5,3,0,40,196,2668,581
4,232,101,15,403,3168,148
5,4,0,40,238,2675,606
4,233,106,15,403,3168,151
4,233,106,15,403,3168,151
5,5,0,30,271,2675,515
4,234,112,10,403,3168,152
5,6,164,59,297,2675,445
4,235,123,15,403,3168,152
5,7,176,40,318,2681,536
4,236,124,11,403,3168,151
5,8,190,92,335,2700,512
4,237,121,18,403,3175,151
5,9,181,51,349,2718,512
4,238,134,52,403,3175,150
5,10,172,49,360,2712,522
4,239,114,36,403,3175,153
5,11,151,67,368,2712,402
4,240,105,11,403,3175,154
5,12,143,34,375,2737,370
4,241,105,23,403,3175,155
4,241,105,23,403,3175,155
5,13,163,42,381,2787,375
4,242,106,36,403,3175,155
5,14,159,27,385,2818,383
4,243,106,50,403,3175,152
5,15,173,41,389,2843,376
4,244,90,34,403,3175,155
5,16,173,81,392,2856,370
4,245,93,106,403,3175,157
5,17,173,51,394,2868,367
5,17,173,51,394,2868,367
4,246,94,68,403,3175,156
5,18,183,52,396,2881,363
4,247,94,28,403,3175,155
5,19,158,46,397,2887,355
4,248,95,26,403,3181,149
5,20,136,14,398,2900,348
4,249,104,9,403,3175,480
4,249,104,9,403,3175,480
4,249,104,9,403,3175,480
5,21,122,7,399,2906,344
4,250,115,5,403,3181,460
5,22,110,6,400,2918,342
4,251,114,3,403,3181,464
5,23,100,4,401,2925,339
4,252,114,3,403,3181,473
5,24,113,5,401,2931,340
4,253,113,4,403,3181,479
5,25,114,4,401,2937,338
5,25,114,4,401,2937,338
5,25,114,4,401,2937,338
4,254,112,3,403,3181,480
5,26,112,5,402,2943,336
4,255,111,4,403,3181,485
5,27,110,5,402,2943,336
4,256,110,5,403,3181,498
5,28,109,5,402,2950,333
4,257,109,4,403,3181,508
5,29,109,5,402,2956,334
4,258,109,26,403,3181,130
5,30,110,69,402,2956,333
4,259,122,267,403,3181,558
5,31,111,201,403,2962,333
4,260,157,438,403,3181,529
4,260,157,438,403,3181,529
5,32,114,203,403,2962,333
5,32,114,203,403,2962,333
4,261,194,299,403,3181,484
5,33,115,106,403,2962,328
4,262,192,222,403,3181,421
5,34,118,125,403,2968,325
4,263,189,263,403,3181,142
4,263,189,263,403,3181,142
5,35,123,123,403,2968,317
5,35,123,123,403,2968,317
4,264,179,275,403,3187,148
5,36,116,91,403,2975,320
4,265,165,210,403,3187,471
5,37,112,122,403,2975,310
4,266,151,181,403,3187,145
5,38,106,106,403,2975,310
4,267,153,225,403,3193,143
5,39,104,77,403,2981,307
5,39,104,77,403,2981,307
4,268,144,203,403,3193,146
5,40,100,111,403,2981,319
4,269,136,274,403,3193,151
5,41,94,13,403,2981,338
4,270,125,8,403,3193,153
5,42,96,7,403,2981,335
4,271,120,9,403,3193,155
5,43,100,11,403,2981,333
4,272,113,5,403,3193,155
5,44,104,10,403,2981,334
4,273,112,5,403,3193,156
5,45,106,11,403,2975,332
5,45,106,11,403,2975,332
4,274,107,5,403,3193,156
5,46,107,10,403,2981,331
4,275,112,34,403,3193,156
4,275,112,34,403,3193,156
5,47,109,12,403,2981,332
4,276,110,21,403,3193,149
5,48,110,14,403,2981,331
4,277,111,32,403,3193,153
5,49,111,8,403,2981,330
4,278,113,9,403,3193,156
5,50,112,12,403,2987,328
4,279,102,9,403,3193,158
5,51,113,7,403,2987,326
4,280,94,12,403,3193,159
5,52,114,8,403,2987,325
4,281,92,10,403,3193,159
5,53,114,16,403,2987,324
4,282,96,6,403,3193,160
5,54,114,12,402,2993,324
4,283,95,6,403,3200,161
5,55,113,10,402,2993,324
4,284,103,5,403,3200,161
5,56,113,18,402,3000,321
4,285,114,15,403,3200,164
4,285,114,15,403,3200,164
5,57,112,40,403,3000,448
4,286,105,18,403,3200,158
4,287,113,15,403,3200,160
4,288,123,73,403,3200,158
4,289,112,53,403,3200,157
4,289,112,53,403,3200,157
4,290,102,23,403,3206,158
4,291,101,21,403,3200,159
4,292,103,12,403,3200,155
4,293,96,22,403,3200,158
4,294,83,22,403,3206,146
4,295,90,41,403,3206,156
4,296,94,27,403,3206,155
4,297,97,19,403,3206,157
4,298,98,23,403,3206,159
4,299,103,58,403,3206,159
4,300,105,40,403,3212,163
2,1,0,613,80,2643,579
2,2,0,27,145,2650,320
4,301,107,56,403,3212,150
2,3,0,14,197,2675,318
4,302,107,18,403,3206,138
2,4,0,9,238,2731,293
4,303,107,10,403,3212,138
2,5,0,9,272,2768,278
4,304,107,7,403,3212,154
2,6,0,5,298,2800,276
4,305,91,9,403,3212,157
2,7,109,6,319,2825,273
4,306,91,6,403,3218,157
2,8,100,7,336,2843,277
2,8,100,7,336,2843,277
4,307,92,5,403,3218,158
2,9,90,7,350,2856,283
4,308,93,7,403,3212,158
4,308,93,7,403,3212,158
2,10,92,5,361,2868,280
4,309,94,6,403,3212,160
2,11,92,7,369,2881,277
4,310,94,4,403,3212,160
2,12,92,7,376,2893,298
4,311,95,7,403,3218,145
2,13,166,50,382,2900,510
4,312,96,26,403,3218,159
4,313,96,31,403,3218,166
4,314,96,16,403,3212,163
4,315,86,15,403,3218,161
4,316,89,50,403,3218,164
4,317,101,45,403,3218,163
4,318,101,26,403,3218,162
4,319,101,20,403,3218,160
4,320,115,30,403,3218,156
1,1,0,594,80,2687,582
4,321,108,34,403,3218,160
1,2,0,44,145,2693,583
4,322,100,48,403,3218,167
1,3,0,58,197,2693,577
4,323,101,21,403,3225,162
1,4,0,23,238,2693,517
1,5,0,13,272,2693,507
1,6,0,14,298,2693,505
1,7,32,9,319,2693,510
1,7,32,9,319,2693,510
1,8,32,57,336,2693,502
1,9,32,51,350,2693,434
1,10,32,36,361,2693,406
1,11,32,31,369,2693,508
1,12,32,26,376,2693,532
1,13,48,12,382,2693,493
1,14,48,11,386,2693,499
1,15,48,13,390,2693,496
1,16,95,10,393,2693,529
1,17,87,7,395,2700,534
1,18,87,8,397,2700,504
1,19,88,9,398,2700,495
1,19,88,9,398,2700,495
1,20,91,6,400,2700,501
1,21,91,7,401,2700,496
1,22,93,9,401,2700,534
1,23,102,6,402,2700,517
1,24,101,6,402,2700,511
1,25,104,19,403,2700,587
1,26,104,25,380,2700,592
1,27,104,32,385,2700,520
1,28,104,12,389,2700,505
1,29,104,24,392,2700,520
1,30,104,20,394,2700,514
1,31,104,13,396,2700,512
1,31,104,13,396,2700,512
1,32,104,8,398,2700,430
1,33,104,5,399,2700,432
1,34,104,4,400,2706,581
1,35,45,7,401,2706,520
1,36,47,7,402,2706,512
1,36,47,7,402,2706,512
1,37,47,11,402,2706,504
1,38,44,14,403,2706,521
1,39,43,12,403,2706,514
1,40,45,8,403,2706,506
1,41,45,8,403,2706,470
1,42,44,8,404,2706,407
1,43,47,9,404,2706,509
1,44,47,10,404,2706,604
1,45,46,20,404,2706,501
1,46,46,26,404,2706,501
1,47,48,23,404,2712,507
1,48,57,38,404,2725,515
1,49,63,9,404,2725,507
1,50,83,26,404,2725,298
1,51,90,38,404,2725,505
1,52,90,30,404,2743,372
1,53,86,6,404,2775,366
1,54,84,5,404,2806,363
1,56,87,6,404,2856,359
1,57,91,6,404,2868,357
1,58,106,8,404,2887,356
1,58,106,8,404,2887,356
1,59,117,5,404,2893,356
1,60,117,7,404,2912,354
1,61,118,7,404,2918,352
1,62,116,5,404,2925,351
1,62,116,5,404,2925,351
1,63,131,6,404,2937,350
1,64,136,4,404,2943,348
1,65,130,6,404,2943,348
1,66,131,8,404,2950,349
1,67,121,7,404,2956,351
1,68,120,11,404,2962,351
1,69,116,7,404,2968,347
1,69,116,7,404,2968,347
1,70,119,4,404,2968,348
1,71,116,7,404,2975,347
1,72,111,7,404,2975,346
1,73,108,8,404,2981,345
1,74,107,8,404,2981,377
1,75,118,29,404,2981,511
1,76,122,44,404,2968,489
1,77,119,60,404,2956,599
1,78,119,12,404,2943,512
1,78,119,12,404,2943,512
1,79,119,19,404,2931,507
1,80,153,14,404,2918,507
1,81,112,7,404,2912,511
1,82,112,9,404,2906,509
1,83,85,9,404,2900,510
1,84,85,7,404,2893,509
1,85,68,9,404,2887,509
1,86,68,10,404,2881,509
1,87,68,10,404,2881,508
1,88,68,10,404,2875,508
1,89,68,8,404,2875,509
1,90,68,9,404,2875,509
1,91,42,7,404,2868,510
1,92,43,11,404,2868,508
1,93,44,9,404,2868,509
1,94,45,7,404,2862,509
1,95,46,6,404,2856,506
1,96,48,7,404,2856,509
1,97,49,7,404,2856,509
1,98,51,9,404,2856,508
1,99,52,9,404,2856,509
1,100,54,9,404,2856,509
1,101,56,8,404,2856,509
1,102,55,7,404,2850,509
1,103,57,9,404,2850,509
1,104,63,7,404,2850,508
1,105,77,9,404,2850,509
1,106,82,5,404,2850,509
1,107,82,7,404,2850,509
1,108,82,7,404,2843,508
1,109,82,25,404,2843,508
1,110,128,26,404,2843,519
1,110,128,26,404,2843,519
1,111,116,65,404,2843,495
1,112,109,38,404,2850,515
1,113,116,84,404,2862,511
1,114,105,99,404,2862,502
1,116,102,32,404,2875,512
1,117,102,25,404,2868,500
1,118,195,22,404,2868,522
1,119,173,25,404,2868,501
1,120,168,8,404,2862,508
1,121,159,9,404,2862,508
1,122,190,8,404,2862,510
4,1,0,620,80,3250,166
1,123,204,11,404,2862,503
4,2,0,9,145,3250,164
1,124,190,11,404,2856,520
4,3,0,7,196,3250,163
1,125,161,27,404,2856,513
4,4,202,27,238,3256,160
1,126,161,37,404,2856,514
4,5,174,21,271,3256,156
1,127,117,25,404,2856,504
4,6,163,46,297,3256,159
1,128,107,36,404,2856,509
1,128,107,36,404,2856,509
4,7,159,25,318,3256,159
1,129,109,39,404,2856,423
4,8,123,36,335,3256,162
1,130,109,61,404,2850,432
4,9,110,30,349,3256,161
1,131,109,54,404,2850,431
4,10,94,22,360,3256,160
1,132,109,26,404,2856,440
4,11,96,15,368,3256,161
1,133,109,21,404,2856,466
4,12,92,14,375,3256,160
1,134,79,16,404,2850,568
4,13,85,11,381,3256,160
4,13,85,11,381,3256,160
1,135,82,43,404,2850,560
4,14,94,34,385,3256,163
1,136,94,27,404,2850,467
4,15,112,47,389,3262,163
1,137,101,33,404,2850,496
4,16,102,31,392,3262,161
1,138,107,22,404,2856,474
4,17,115,50,394,3262,161
1,139,108,54,404,2856,596
4,18,115,31,396,3262,161
5,1,0,512,80,2768,586
1,140,104,41,404,2850,449
4,19,113,29,397,3262,162
5,2,0,45,145,2768,591
1,141,102,26,404,2856,560
4,20,107,14,398,3262,164
5,3,0,26,196,2775,433
1,142,96,33,404,2856,512
4,21,118,36,399,3268,161
5,4,0,26,238,2775,446
1,143,95,26,404,2856,533
4,22,106,29,400,3262,160
5,5,0,50,271,2775,420
1,144,94,27,404,2862,485
4,23,104,9,401,3268,159
5,6,0,8,297,2781,512
1,145,99,11,404,2862,484
4,24,102,7,401,3268,160
5,7,41,10,318,2781,475
1,146,101,8,404,2868,446
4,25,101,3,401,3268,159
5,8,46,9,335,2781,548
1,147,101,8,404,2868,579
4,26,101,6,402,3268,160
5,9,53,8,349,2781,563
1,148,101,6,404,2868,571
4,27,101,4,402,3268,159
5,10,57,6,360,2781,490
1,149,101,5,404,2875,489
4,28,101,4,402,3268,159
5,11,69,6,368,2787,495
1,150,102,6,404,2875,479
4,29,102,4,402,3268,160
5,12,102,7,375,2787,493
1,151,102,5,404,2875,479
4,30,102,5,402,3268,160
5,13,114,6,381,2787,484
1,152,102,45,404,2881,429
4,31,103,27,403,3268,163
5,14,113,18,385,2787,553
1,153,113,38,404,2881,502
4,32,101,45,403,3268,167
5,15,113,44,389,2787,527
1,154,112,207,404,2881,586
4,33,109,116,403,3268,157
5,16,119,170,392,2787,467
1,155,130,283,404,2881,567
4,34,129,101,403,3268,157
5,17,127,143,394,2793,513
1,156,157,199,404,2881,435
4,35,170,98,403,3268,160
5,18,131,89,396,2793,470
1,157,150,245,404,2881,503
4,36,207,95,403,3268,159
5,19,132,91,397,2793,477
1,158,175,140,404,2881,475
4,37,204,169,403,3268,161
1,159,167,45,404,2881,476
4,38,204,32,403,3275,160
1,160,137,31,404,2881,567
4,39,204,27,403,3268,160
5,22,110,25,400,2800,479
1,161,127,56,404,2875,535
4,40,217,68,403,3275,160
4,40,217,68,403,3275,160
